"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","284","94","62","52","69","69","0","11","0","11","29","32","0","11","0","11","0","11","0","11","0","11","0","11","24","40","78","63","14","23","8","17","0","11"
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","939","173","262","128","41","50","131","74","145","108","37","58","0","11","66","76","27","30","0","11","23","29","112","101","8","18","47","47","9","20","31","54","0","11"
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1025","186","117","75","37","35","44","42","46","65","32","30","91","82","46","37","26","31","0","11","34","34","267","162","85","67","140","119","15","23","26","32","19","33"
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","659","142","71","66","48","35","44","54","64","61","69","66","47","52","13","20","49","60","29","46","39","60","34","45","72","61","32","36","22","34","13","19","13","22"
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1599","143","302","128","70","63","111","80","113","84","72","58","101","81","90","74","109","92","45","49","139","83","116","83","139","77","120","77","55","59","17","27","0","11"
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","412","114","32","50","0","11","11","17","0","11","38","54","0","11","0","11","0","11","20","33","66","53","89","62","48","57","23","35","45","41","15","23","25","34"
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","460","74","79","51","32","28","61","37","45","42","39","41","17","27","19","23","16","26","13","17","35","29","17","27","50","36","29","22","8","14","0","11","0","11"
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","516","81","41","31","10","16","48","34","35","30","47","34","19","20","62","43","40","42","45","43","25","29","22","21","47","32","44","35","12","19","9","14","10","15"
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","520","124","43","40","40","67","32","40","63","66","0","11","14","22","71","74","29","37","0","11","113","74","14","23","85","69","16","26","0","11","0","11","0","11"
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","934","176","185","112","31","28","0","11","43","69","48","57","141","127","120","110","42","67","11","17","0","11","83","63","111","62","27","31","34","41","39","59","19","30"
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","727","160","108","79","47","55","82","79","63","51","29","33","113","87","69","84","13","20","0","11","47","48","51","43","79","71","0","11","0","11","26","31","0","11"
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","801","162","30","34","72","74","28","31","13","22","30","35","135","91","63","98","0","11","0","11","59","82","59","55","114","84","21","35","27","32","34","34","116","79"
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","892","129","86","84","13","22","77","76","90","60","41","38","63","64","78","71","50","40","89","84","10","17","15","23","153","89","29","32","34","54","49","60","15","22"
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","430","102","47","58","14","22","14","22","12","19","0","11","40","36","80","69","0","11","28","31","68","78","58","40","27","31","42","39","0","11","0","11","0","11"
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","548","111","111","81","38","36","70","39","44","40","0","11","0","11","23","26","16","25","14","23","69","43","13","21","0","11","86","64","27","30","37","60","0","11"
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","553","134","79","73","43","57","53","43","78","70","0","11","0","11","29","36","11","19","26","42","29","33","94","92","63","70","9","13","16","25","23","43","0","11"
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1030","145","84","61","82","83","43","35","97","82","67","57","74","65","71","57","64","47","79","93","156","103","98","87","84","68","0","11","0","11","0","11","31","34"
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","765","153","166","89","102","73","137","104","97","85","19","32","23","27","32","37","14","23","0","11","55","46","0","11","30","49","41","38","13","21","36","42","0","11"
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","529","105","50","40","68","44","51","45","41","35","36","45","67","46","0","11","15","17","29","32","40","34","19","20","42","31","25","24","28","30","8","12","10","16"
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","976","113","82","49","97","65","97","65","71","40","49","39","87","51","53","36","113","53","59","51","81","66","50","37","36","24","50","33","15","18","36","28","0","11"
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","731","108","253","79","89","59","75","57","54","47","8","13","8","13","22","21","12","15","7","11","30","23","17","27","22","20","0","11","60","50","36","27","38","30"
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","318","83","98","47","12","14","0","11","7","11","7","12","25","22","18","30","0","11","20","31","45","43","29","36","42","29","8","13","7","12","0","11","0","11"
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","942","171","32","39","15","23","61","61","28","33","107","114","66","71","27","45","31","42","66","57","84","66","130","95","92","70","108","82","31","27","46","43","18","30"
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","228","105","46","75","0","11","0","11","0","11","30","37","0","11","12","18","0","11","0","11","23","41","20","37","19","33","14","22","0","11","8","13","56","60"
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","996","182","141","97","178","125","28","41","30","33","117","103","0","11","15","24","36","41","53","58","49","45","107","110","72","64","0","11","51","48","39","33","80","58"
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","827","200","104","87","98","87","51","50","97","100","15","24","52","54","120","107","72","88","34","38","20","28","65","49","9","16","56","63","34","46","0","11","0","11"
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","752","109","77","52","29","22","74","48","67","36","62","58","27","37","30","36","52","44","25","24","21","21","103","63","113","67","0","11","8","12","42","48","22","26"
